id,title,deliverableType,description,projectID,projectAcronym,url,collection,contentUpdateDate,rcn
190136266_5_DELIVHORIZON,Project webpage and logo,"Websites, patent fillings, videos etc.",Project webpage and logo,190136266,Deepstroke-Acc,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5ff6dd8e6&appId=PPGMS,Project deliverable,2024-01-31 13:50:03,1038413
190177099_5_DELIVHORIZON,White paper on sustainable space technologies,"Documents, reports",White paper on sustainable space technologies,190177099,Aurora Plasma Brake (APB),https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e508fd21d5&appId=PPGMS,Project deliverable,2024-03-28 13:26:00,1067360
101129658_11_DELIVHORIZON,Dissemination and Communication Plan,"Documents, reports","Planning and reporting of compilation of SPATRA Dissemination&Communication activities,updated every 6 months",101129658,SPATRA,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50be765bb&appId=PPGMS,Project deliverable,2024-05-06 11:02:10,1090541
101129658_4_DELIVHORIZON,Requirements and use cases specifications,"Documents, reports",Report on defined requirements to be fulfilled and on specifications (hardware andsoftware) of two use-cases.,101129658,SPATRA,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e512dacf77&appId=PPGMS,Project deliverable,2024-12-02 16:52:21,1213967
101129658_2_DELIVHORIZON,Risk management and project quality plan,"Documents, reports",Risk management and Quality Plan describing general adopted procedures of the project aiming at increasing the general quality of the project actions,101129658,SPATRA,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50b0dd01e&appId=PPGMS,Project deliverable,2024-04-16 15:36:09,1079345
101129658_8_DELIVHORIZON,Pilot Plan and Protocol Specification,"Documents, reports","This deliverable will outline the plan and protocol for executing the pilots with Neltand Serbian Railway Infrastructure. It will include details such as the scope, timeline, resources required, and success criteria.",101129658,SPATRA,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51735d357&appId=PPGMS,Project deliverable,2025-01-27 10:04:36,1245602
101129658_1_DELIVHORIZON,Project Management Plan (PMP),"Documents, reports","Plan for efficient and effective project management, updated bi-weekly",101129658,SPATRA,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5171baf88&appId=PPGMS,Project deliverable,2024-04-29 16:10:58,1085179
101106492_1_DELIVHORIZON,Data Management Plan,Data Management Plan,"The Data Management Plan describes the data management life cycle for all data sets that will be collected, processed or generated by the action. It is a document describing what data will be collected, processed or generated and following what methodology and standards, whether and how this data will be shared and/or made open, and how it will be curated and preserved.",101106492,Full-Fission,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e512643351&appId=PPGMS,Project deliverable,2024-10-16 08:22:12,1174857
101120962_30_DELIVHORIZON,Project Website,"Websites, patent fillings, videos etc.",A website will be designed as the main communication portal of the project After initial deployment the website will be continuously updated to reflect current information about the project important news and announcements public deliverables events etc In addition social media accounts will be created Twitter Youtube channel Facebook page LinkedIn page to engage a wider audience disseminate project activities drive traffic towards the projects main website and establish easy and direct communication paths with the general academic and industrial community,101120962,RESCALE,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5079ff02e&appId=PPGMS,Project deliverable,2024-01-31 14:28:51,1038433
101114356_12_DELIVHORIZON,FINEST SCALEUP toolkit digital platform and info point helpdesk,Other,"FINEST SCALEUP toolkit and digital platform (D3.2) which will support all targeted stakeholders, consisting of interactive tools and links to various types of assistance points, including an centralised digital helpdesk/info point, which will continue to be developed over the project lifetime",101114356,FINEST SCALEUP,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511f3a911&appId=PPGMS,Project deliverable,2024-10-16 08:22:19,1174898
101114356_19_DELIVHORIZON,"Exploitation, Replicability and Sustainability Plan","Documents, reports","FINEST SCALEUP project Exploitation, Replicability and Sustainability (ER&S) Plan (D8.3) goal is to pave the way for the adoption of its results by the ‘LC&D.IE’ stakeholders, and beyond, during and after the end of the project. The ER&S plan, first version to be prepared by M6 and a final mature version by M27 (a few months before the project completion, in order to absorb the learning and project results, and to support the final stage of results dissemination and exploitation, and solidify the impact pathways after the project  completion)",101114356,FINEST SCALEUP,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511f3a1bc&appId=PPGMS,Project deliverable,2024-10-16 08:22:18,1174895
101114356_11_DELIVHORIZON,Repository of innovation ecosystems best practices,"Documents, reports",Repository of best practices of market entry facilitation for international investors.,101114356,FINEST SCALEUP,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e511f4614b&appId=PPGMS,Project deliverable,2024-10-16 08:22:20,1174911
101114356_18_DELIVHORIZON,CED Toolkit,"Websites, patent fillings, videos etc.","CED tools: webpage, social media pages, graphical charts and templates, visual identity to launch communication campaigns and within the community is named CED Toolkit (D8.2).",101114356,FINEST SCALEUP,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51144cefa&appId=PPGMS,Project deliverable,2024-09-23 11:18:19,1168510
101114356_8_DELIVHORIZON,Gender Action Plan,"Documents, reports","The Gender Action Plan - GAP (D2.1),is intended to provide a framework to maximise and closely monitor to the gender dimension (i) within the consortium, (ii) across our coordination and support activities, and (iii) in the wider context of the FINEST SCALEUP project innovation ecosystem and deep tech domains. It will be regularly updated. Foreseen updates in M12 and M21.",101114356,FINEST SCALEUP,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50da6ec50&appId=PPGMS,Project deliverable,2024-07-29 13:39:38,1135455
101113151_52_DELIVHORIZON,2023 Selection of 4 Grow NEBprojects,"Documents, reports",Selection of 4 Grow NEB projects for prototype & testing with consumers within the Ignite NEB events.,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1c46e&appId=PPGMS,Project deliverable,2024-03-28 14:30:07,1068428
101113151_95_DELIVHORIZON,Data Management Guidelines v2,Data Management Plan,Revised version including feedback from the Data Managment Task Force,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e51108c99d&appId=PPGMS,Project deliverable,2024-09-02 16:08:14,1161400
101113151_22_DELIVHORIZON,Data Base of courses_2,"Data sets, microdata, etc","DB of courses with a subset of fields to identify and categorise them, tagged with the corresponding skills (from ESCO) and the development stage where they can be useful.",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50ed0d88f&appId=PPGMS,Project deliverable,2024-08-26 14:16:27,1158252
101113151_30_DELIVHORIZON,AI Deep Tech Talent Prototype v.2.0,Other,Decision Support System to help the selection of the right courses to improve missing skills in AI. Intended users are i) start-ups and ii) academic institutions.,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50f8d8abb&appId=PPGMS,Project deliverable,2024-08-26 14:16:27,1158253
101113151_46_DELIVHORIZON,2023 Selection of 4 Ignite NEB event hosts,"Documents, reports","Selection of 4 Ignite NEB event hosts, call guidelines & selection process",101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e509b1af4d&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068391
101113151_13_DELIVHORIZON,AI related Policy reports,"Documents, reports",Provide relevant information to inform polic-makers at EU level and,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5069745b4&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068392
101113151_9_DELIVHORIZON,2023 EIT AI Stakeholder workshop report,"Documents, reports",Proceeding of event,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5069745af&appId=PPGMS,Project deliverable,2024-03-28 14:30:05,1068409
101113151_29_DELIVHORIZON,AI Deep Tech Talent Prototype/v1.0,Other,Decision Support System to help the selection of the right courses to improve missing skills in AI. Intended users are i) start-ups and ii) academic institutions.,101113151,Strategic Synergies,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e50674b811&appId=PPGMS,Project deliverable,2024-03-28 14:30:04,1068399
